recordKey,detailId,mediaId,segmentIndex,tcStart,tcEnd,startSeconds,endSeconds,segmentLabel,transcriptSnippet,personMentions,placeMentions,confidence,reviewedBy
0ea2fdcf-ce94-8496-2f43-aebd1f98854f::7c6e12d9-cea4-fcb5-8aea-91fadd4407cf,0ea2fdcf-ce94-8496-2f43-aebd1f98854f,7c6e12d9-cea4-fcb5-8aea-91fadd4407cf,1,00:00:00.000,00:01:44.000,0,104,full item,,,,,
0f047382-c3eb-17d7-555c-2cc46cc671a5::8c5e994d-2a17-985a-40eb-c030f80fbcc9,0f047382-c3eb-17d7-555c-2cc46cc671a5,8c5e994d-2a17-985a-40eb-c030f80fbcc9,1,00:00:00.000,00:17:42.000,0,1062,full item,,,,,
0f4978ed-764f-0193-c1d9-d305231cc960::7569993a-d710-528e-a4d6-d85556afbf60,0f4978ed-764f-0193-c1d9-d305231cc960,7569993a-d710-528e-a4d6-d85556afbf60,1,00:00:00.000,00:02:44.000,0,164,full item,,,,,
0fc6ab8d-ed4c-a50e-05d8-4a9fce2ec959::c10c84af-380f-f567-d6f3-d8993f12cf88,0fc6ab8d-ed4c-a50e-05d8-4a9fce2ec959,c10c84af-380f-f567-d6f3-d8993f12cf88,1,00:00:00.000,00:01:07.000,0,67,full item,,,,,
0fd864fa-4fb9-0b3d-bf68-9cc0999446f0::780f91ed-4086-0923-d4f0-c7f6d8cf2926,0fd864fa-4fb9-0b3d-bf68-9cc0999446f0,780f91ed-4086-0923-d4f0-c7f6d8cf2926,1,00:00:00.000,00:00:55.000,0,55,full item,,,,,
10590dcf-c1f1-7303-ceb2-fcef07ae2982::438ef714-ac82-78c3-76ec-b3dafb069085,10590dcf-c1f1-7303-ceb2-fcef07ae2982,438ef714-ac82-78c3-76ec-b3dafb069085,1,00:00:00.000,00:33:14.000,0,1994,full item,,,,,
10e77cce-4745-cd22-9cdd-347d0ce18cc5::746c3ccb-f89c-99b1-70f2-b4aca10bcaae,10e77cce-4745-cd22-9cdd-347d0ce18cc5,746c3ccb-f89c-99b1-70f2-b4aca10bcaae,1,00:00:00.000,00:02:49.000,0,169,full item,,,,,
11315606-e40b-1641-ae4a-6834661b77fc::76451af7-1524-d9ae-2a1a-237717d893c1,11315606-e40b-1641-ae4a-6834661b77fc,76451af7-1524-d9ae-2a1a-237717d893c1,1,00:00:00.000,00:00:33.000,0,33,full item,,,,,
113914af-c9da-03ca-7025-ea532438750c::66e0b5b3-275c-31a1-7bd4-3a4f0b101152,113914af-c9da-03ca-7025-ea532438750c,66e0b5b3-275c-31a1-7bd4-3a4f0b101152,1,00:00:00.000,00:39:50.000,0,2390,full item,,,,,
115c3461-e3cb-844a-9655-b3dd4841a55e::ba77abd2-ee64-961d-d9a5-42a9db5b7329,115c3461-e3cb-844a-9655-b3dd4841a55e,ba77abd2-ee64-961d-d9a5-42a9db5b7329,1,00:00:00.000,00:03:47.000,0,227,full item,,,,,
11c7228f-9b6c-b029-6bbf-98f0f96a2ad4::94636342-247f-5f14-39fa-8b5a248874a6,11c7228f-9b6c-b029-6bbf-98f0f96a2ad4,94636342-247f-5f14-39fa-8b5a248874a6,1,00:00:00.000,00:07:58.000,0,478,full item,,,,,
130e3a02-acf5-3701-3bf9-4e486f02e734::17ffe86a-bd35-117c-3fb2-d5a2c211e81a,130e3a02-acf5-3701-3bf9-4e486f02e734,17ffe86a-bd35-117c-3fb2-d5a2c211e81a,1,00:00:00.000,00:01:36.000,0,96,full item,,,,,
139a76fb-3c54-8c7c-dd47-9bdc50744546::51c84a91-fe31-82a9-cb52-d089a49a7b52,139a76fb-3c54-8c7c-dd47-9bdc50744546,51c84a91-fe31-82a9-cb52-d089a49a7b52,1,00:00:00.000,00:05:41.000,0,341,full item,,,,,
139cb408-317c-1980-bf4a-4034e0633cf1::79094232-0441-45bb-7938-0ac182877cb2,139cb408-317c-1980-bf4a-4034e0633cf1,79094232-0441-45bb-7938-0ac182877cb2,1,00:00:00.000,00:10:00.000,0,600,full item,,,,,
141017c9-4f39-1215-77ec-ec20c32065a5::bc233cff-c736-cb1d-1593-38088a16753f,141017c9-4f39-1215-77ec-ec20c32065a5,bc233cff-c736-cb1d-1593-38088a16753f,1,00:00:00.000,00:01:00.000,0,60,full item,,,,,
146e942f-d46f-c849-f291-94cfab76a572::9dd64293-169c-1c45-9038-1210f1f9a842,146e942f-d46f-c849-f291-94cfab76a572,9dd64293-169c-1c45-9038-1210f1f9a842,1,00:00:00.000,00:01:05.000,0,65,full item,,,,,
1483a3ac-7304-b9e5-6c80-d3b1ca61163b::d831d51a-f6a0-1cff-7c60-edd4648192fa,1483a3ac-7304-b9e5-6c80-d3b1ca61163b,d831d51a-f6a0-1cff-7c60-edd4648192fa,1,00:00:00.000,00:03:10.000,0,190,full item,,,,,
14afdc1a-ef48-3268-7353-b048ec3f4316::acf3cb88-154a-a86c-a81d-3cde2aeee753,14afdc1a-ef48-3268-7353-b048ec3f4316,acf3cb88-154a-a86c-a81d-3cde2aeee753,1,00:00:00.000,00:17:57.000,0,1077,full item,,,,,
155f7ff4-791c-250e-6c7a-2340fbb0f740::3f1e6292-402e-9f3c-6e2b-f90191ecc121,155f7ff4-791c-250e-6c7a-2340fbb0f740,3f1e6292-402e-9f3c-6e2b-f90191ecc121,1,00:00:00.000,00:07:47.000,0,467,full item,,,,,
15f6574d-b9ce-d6ec-d6fd-38cfa82d444c::19c4b332-87db-43d4-8ca5-804227cee51b,15f6574d-b9ce-d6ec-d6fd-38cfa82d444c,19c4b332-87db-43d4-8ca5-804227cee51b,1,00:00:00.000,00:08:27.000,0,507,full item,,,,,
15f9c789-cda6-21f3-857a-f370f321babe::db2a34ed-b566-0f87-0467-14a3b184c146,15f9c789-cda6-21f3-857a-f370f321babe,db2a34ed-b566-0f87-0467-14a3b184c146,1,00:00:00.000,00:41:47.000,0,2507,full item,,,,,
1633432f-bf41-56f8-b2b3-a7838881693e::e4f5c81f-a471-8df0-aafa-17a01e0a135b,1633432f-bf41-56f8-b2b3-a7838881693e,e4f5c81f-a471-8df0-aafa-17a01e0a135b,1,00:00:00.000,00:27:53.000,0,1673,full item,,,,,
1654d726-51e5-2324-d9da-ab6fc9c689ba::704ea270-f8e9-cef7-52ec-a1a3bec0d115,1654d726-51e5-2324-d9da-ab6fc9c689ba,704ea270-f8e9-cef7-52ec-a1a3bec0d115,1,00:00:00.000,00:26:13.000,0,1573,full item,,,,,
16ae2429-2dd7-70aa-f96f-e42e83dbed3c::5ae6ac4c-139e-e480-153d-8ce3d92777da,16ae2429-2dd7-70aa-f96f-e42e83dbed3c,5ae6ac4c-139e-e480-153d-8ce3d92777da,1,00:00:00.000,00:01:40.000,0,100,full item,,,,,
16ce9de8-a4c9-f168-8788-b0a9da63398c::a25a51b2-3552-da9a-027d-10d30384e56a,16ce9de8-a4c9-f168-8788-b0a9da63398c,a25a51b2-3552-da9a-027d-10d30384e56a,1,00:00:00.000,00:06:03.000,0,363,full item,,,,,
175a6b6f-b4b0-68fa-240c-453f4e571435::d7291358-1d27-4e86-37a9-806fb69768a2,175a6b6f-b4b0-68fa-240c-453f4e571435,d7291358-1d27-4e86-37a9-806fb69768a2,1,00:00:00.000,00:03:33.000,0,213,full item,,,,,
179f1ba2-9622-b05e-e043-8a8330b6d425::0a9c000b-bb73-a5fe-fb99-bf83ee108eb2,179f1ba2-9622-b05e-e043-8a8330b6d425,0a9c000b-bb73-a5fe-fb99-bf83ee108eb2,1,00:00:00.000,00:02:39.000,0,159,full item,,,,,
17eba596-a9a0-671c-6e84-4646b6a9abaf::689f6ea7-6bcb-dbad-bc65-ee1554db21b3,17eba596-a9a0-671c-6e84-4646b6a9abaf,689f6ea7-6bcb-dbad-bc65-ee1554db21b3,1,00:00:00.000,00:00:32.000,0,32,full item,,,,,
180f9a3f-30e6-f93a-1a40-69134df77709::3c6ed19a-76e3-b403-f0c9-ca78f91f3714,180f9a3f-30e6-f93a-1a40-69134df77709,3c6ed19a-76e3-b403-f0c9-ca78f91f3714,1,00:00:00.000,00:01:11.000,0,71,full item,,,,,
18548a2c-3593-231a-4c4a-5fba098f133e::a11c7f80-ed05-1065-1e4a-f3b54e100d6f,18548a2c-3593-231a-4c4a-5fba098f133e,a11c7f80-ed05-1065-1e4a-f3b54e100d6f,1,00:00:00.000,00:02:18.000,0,138,full item,,,,,
18b79bce-aab7-8c09-6db6-a04be12397bc::292de83e-c91c-45f2-2fa6-50204256b6d4,18b79bce-aab7-8c09-6db6-a04be12397bc,292de83e-c91c-45f2-2fa6-50204256b6d4,1,00:00:00.000,00:04:18.000,0,258,full item,,,,,
1914c613-ad50-559c-e617-fb7a93945807::9de9bbf9-ed5a-a80d-86fb-bbc5e8c7777f,1914c613-ad50-559c-e617-fb7a93945807,9de9bbf9-ed5a-a80d-86fb-bbc5e8c7777f,1,00:00:00.000,00:01:27.000,0,87,full item,,,,,
196bd906-d1e0-4f0b-a7cf-5cc4ded00b28::8bd97f9d-90a1-5411-7f76-e033a4dde22e,196bd906-d1e0-4f0b-a7cf-5cc4ded00b28,8bd97f9d-90a1-5411-7f76-e033a4dde22e,1,00:00:00.000,00:01:23.000,0,83,full item,,,,,
19ca33cb-2a91-62b9-7537-401121aa0e05::a020f771-c093-9a15-2bd9-b3597d329eba,19ca33cb-2a91-62b9-7537-401121aa0e05,a020f771-c093-9a15-2bd9-b3597d329eba,1,00:00:00.000,00:00:58.000,0,58,full item,,,,,
19dcf5fd-bb4c-2a5a-194b-f5089bd2412b::986cc70c-e3cb-846a-9ce0-3fb0ec032bc9,19dcf5fd-bb4c-2a5a-194b-f5089bd2412b,986cc70c-e3cb-846a-9ce0-3fb0ec032bc9,1,00:00:00.000,00:38:12.000,0,2292,full item,,,,,
19f9c3fb-8c01-02bd-efd9-8a99b61b5276::cde164fa-bbad-c75a-8a46-6388a4cf0c6f,19f9c3fb-8c01-02bd-efd9-8a99b61b5276,cde164fa-bbad-c75a-8a46-6388a4cf0c6f,1,00:00:00.000,00:14:03.000,0,843,full item,,,,,
