recordid;id;year;page;litt_std;district_of_divisie;loc_org;loc_std;river_or_road;direction;plantation_std;plantation_org;plantation_id;psur_id;psur_id2;has_parts1_lab;has_parts1_id;has_parts2_lab;has_parts2_id;has_parts3_lab;has_parts3_id;has_parts4_lab;has_parts4_id;part_of_lab;part_of_id;reference_org;owned_by_lab;owned_by_id;owned_by_id2;size_std;product_std;enslaved_norm;enslaved_shared_with;function;additional_info;deserted;lot;administrateurs;directeuren;eigenaren;administrateurs_in_Europa;administrateurs_in_suriname;blank-officier;slaven;sranantongo_naam;plantage_mannelijke_niet_vrije_bewoners;plantage_totaal_niet_vrije_bewoners;plantage_vrouwelijke_niet_vrije_bewoners;privé_mannelijke_niet_vrije_bewoners;privé_totaal_niet_vrije_bewoners;privé_vrouwelijke_niet_vrije_bewoners;soort_van_molen;totaal_generaal_bewoners;vrije_bewoners;generaal_totaal_slaven;generale_macht_slaven_geschikt_tot_werken_plantages;generale_macht_slaven_geschikt_tot_werken_privé;generale_macht_slaven_ongeschikt_tot_werken_plantages;generale_macht_slaven_ongeschikt_tot_werken_privé;totaal_slaven_op_de_plantages_aanwezig_geschikt_tot_werk;totaal_slaven_op_de_plantages_aanwezig_ongeschikt_tot_werk;vrije_personen_op_plantages_jongens;vrije_personen_op_plantages_mannen;vrije_personen_op_plantages_meisjes;vrije_personen_op_plantages_vrouwen;vrije_personen_op_plantages_totaal;werktuig_stoom;werktuig_water
1828-101-824;3933;1828;101;H;;Rivier Saramacca (beneden) linkerhand in het afvaren;Beneden-Saramacca;Saramacca;links afvaren;De Morgenster;De Morgenstar;Q59115469;PSUR0085;;;;;;;;;;;;;;;;;koffie;;;;;;;P.S- C.J- en J.J. Leysner.;P.S. Leysner.;Erv. J.J. Leysner.;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1828-101-825;3934;1828;101;H;;Rivier Saramacca (beneden) linkerhand in het afvaren;Beneden-Saramacca;Saramacca;links afvaren;De Eendragt (Saramacca);De Eendragt.;Q124827875;PSUR0100;;;;;;;;;;;;;;;;;koffie;;;;;;;...Campbell.;Bruno de Sander.;Coll en Campbell.;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1828-101-826;3935;1828;101;H;;Rivier Saramacca (beneden) linkerhand in het afvaren;Beneden-Saramacca;Saramacca;links afvaren;Sara Maria;Sara Maria;Q59133267;PSUR0306;;;;;;;;;;;;;;;;1000;kost;;;;;;;Sekwesters en E.J.v.d. Bergh.;J. Kenswil.;J.F. Ohland.;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1828-101-827;3936;1828;101;H;;Rivier Saramacca (beneden) linkerhand in het afvaren;Beneden-Saramacca;Saramacca;links afvaren;Broederschap;Broederschap.;Q59115314;PSUR0043;;;;;;;;;;;;;;;;2000;koffie;;;;;;;Isay Abrahams, Jr.;F.N. Krüse.;J. Abrahams, Jr.;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1828-101-828;3937;1828;101;H;;Rivier Saramacca (beneden) linkerhand in het afvaren;Beneden-Saramacca;Saramacca;links afvaren;Mijn Vermaak;Mijn Vermaak;Q59118029;PSUR0233;;;;;;;;;;;;;;;;1000;koffie;;;;;;;F. Beudeker.;J.C. Dirks.;F. Beudeker.;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1828-101-829;3938;1828;101;H;;Rivier Saramacca (beneden) linkerhand in het afvaren;Beneden-Saramacca;Saramacca;links afvaren;La Prévoyance;La Prévoyance;Q59116888;;;;;;;;;;;;;;;;;1500;koffie;;;;;;;F. Beudeker en J.C. Muller, n. ux.;J.C. Muller.;Bl. J.F. Friderici.;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1828-101-830;3939;1828;101;H;;Rivier Saramacca (beneden) linkerhand in het afvaren;Beneden-Saramacca;Saramacca;links afvaren;De Dankbaarheid;De Dankbaarheid;Q59115440;PSUR0073-A;;;;;;;;;;;;;;;;1000;koffie en cacao;;;;;;;Sekwesters en E.J.v.d. Bergh.;J. Kenswil.;J.F. Ohland.;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1828-101-831;3940;1828;101;H;;Rivier Saramacca (beneden) linkerhand in het afvaren;Beneden-Saramacca;Saramacca;links afvaren;Huwelijkszorg;Huwelijkszorg;Q59115708;PSUR0145;;;;;;;;;;;;;;;;1000;koffie;;;;;;;J. Evans.;W. Maynard, Jr.;J. Evans.;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1828-101-832;3941;1828;101;H;;Rivier Saramacca (beneden) linkerhand in het afvaren;Beneden-Saramacca;Saramacca;links afvaren;Londondery;Londondery;Q59116979;;;;;;;;;;;;;;;;;;;;;;;verlaten;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1828-101-833;3942;1828;101;H;;Rivier Saramacca (beneden) linkerhand in het afvaren;Beneden-Saramacca;Saramacca;links afvaren;Hildesheim;Hildesheim;Q59115692;PSUR0140;;;;;;;;;;;;;;;;1000;koffie;;;;;;;J.J.G. Spillker.;B. Dörr.;J.J.G. Spilker.;;;;;;;;;;;;;;;;;;;;;;;;;;;;
