lpId,adres1885,straatnaam1885,zoneType,lpAddressStatus,isLinkableAddress,linkingStatus,hasGeometry,candidateCount,candidateSummary
2201,EBW211a,Grote Waterstraat,renumbered-1885,address,yes,matched,yes,8,3858 | 1885 | 1e BW 211 | Grote Waterstraat | 1885-fallback-core-only+street || 3862 | 1885 | 1e BW 211 | Grote Waterstraat | 1885-fallback-core-only+street || 3864 | 1885 | 1e BW 211 aa | Grote Waterstraat | 1885-fallback-core-only+street || 3866 | 1885 | 1e BW 211 ab | Grote Waterstraat | 1885-fallback-core-only+street || 3868 | 1885 | 1e BW 211 ac | Grote Waterstraat | 1885-fallback-core-only+street || 3870 | 1885 | 1e BW 211 a | Grote Waterstraat | 1885-exact-components+street || 3872 | 1885 | 1e BW 211 ab | Grote Waterstraat | 1885-fallback-core-only+street || 5290 | 1885 | 1e BW 211 | Grote Waterstraat | 1885-fallback-core-only+street
2202,EBW212,Grote Waterstraat,renumbered-1885,address,yes,matched,yes,10,3505 | 1885 | 1e BW 212 ca | Grote Waterstraat | 1885-fallback-core-only+street || 3511 | 1885 | 1e BW 212 ca | Grote Waterstraat | 1885-fallback-core-only+street || 3512 | 1885 | 1e BW 212 ca | Grote Waterstraat | 1885-fallback-core-only+street || 3515 | 1885 | 1e BW 212 b1 | Grote Waterstraat | 1885-fallback-core-only+street || 3516 | 1885 | 1e BW 212 | Grote Waterstraat | 1885-exact-components+street || 3518 | 1885 | 1e BW 212 | Grote Waterstraat | 1885-exact-components+street || 3519 | 1885 | 1e BW 212 | Grote Waterstraat | 1885-exact-components+street || 3520 | 1885 | 1e BW 212 d2 | Grote Waterstraat | 1885-fallback-core-only+street
2203,EBW213aa,Grote Waterstraat,renumbered-1885,address,yes,matched,yes,2,3523 | 1885 | 1e BW 213 | Grote Waterstraat | 1885-fallback-core-only+street || 3524 | 1885 | 1e BW 213 | Grote Waterstraat | 1885-fallback-core-only+street
2204,EBW214a,Tweede Dwarsstraat,renumbered-1885,address,yes,matched,yes,2,3411 | 1885 | 1e BW 214 | Tweede Dwarsstraat | 1885-fallback-core-only+street || 3412 | 1885 | 1e BW 214 | Tweede Dwarsstraat | 1885-fallback-core-only+street
2205,EBW215,Tweede Dwarsstraat,renumbered-1885,address,yes,matched,yes,1,3890 | 1885 | 1e BW 215 | Tweede Dwarsstraat | 1885-exact-components+street
2206,EBW216,Tweede Dwarsstraat,renumbered-1885,address,yes,matched,yes,1,3889 | 1885 | 1e BW 216 | Tweede Dwarsstraat | 1885-exact-components+street
2207,EBW217,Tweede Dwarsstraat,renumbered-1885,address,yes,matched,yes,1,3415 | 1885 | 1e BW 217 | Tweede Dwarsstraat | 1885-exact-components+street
2208,EBW218,Tweede Dwarsstraat,renumbered-1885,address,yes,matched,yes,1,3426 | 1885 | 1e BW 218 | Tweede Dwarsstraat | 1885-exact-components+street
2209,EBW219,Tweede Dwarsstraat,renumbered-1885,address,yes,matched,yes,5,3424 | 1885 | 1e BW 219 | Tweede Dwarsstraat | 1885-exact-components+street || 3425 | 1885 | 1e BW 219 | Tweede Dwarsstraat | 1885-exact-components+street || 3427 | 1885 | 1e BW 219 | Tweede Dwarsstraat | 1885-exact-components+street || 3428 | 1885 | 1e BW 219 | Tweede Dwarsstraat | 1885-exact-components+street || 3429 | 1885 | 1e BW 219 | Tweede Dwarsstraat | 1885-exact-components+street
2210,EBW220a,Mauriciusstraat,renumbered-1885,address,yes,matched,yes,2,4231 | 1885 | 1e BW 220 | Mauriciusstraat | 1885-fallback-core-only+street || 4232 | 1885 | 1e BW 220 | Mauriciusstraat | 1885-fallback-core-only+street
